company,rating,location,revdate,recommends,outlook,ceo_opinion,wlbalance,career_ops
Airbnb,5.0,"San Francisco, CA",07-20-2020,,,,,
Airbnb,5.0,"San Francisco, CA",07-10-2020,y,positive,approves,5.0,5.0
Airbnb,4.0,"Seattle, WA",07-20-2020,,,,,
Airbnb,5.0,"Portland, OR",06-23-2020,y,positive,approves,5.0,5.0
Airbnb,5.0,"Washington, DC",06-22-2020,y,negative,,4.0,4.0
Airbnb,5.0,"San Francisco, CA",06-25-2020,,,,,
Airbnb,5.0,"Portland, OR",,y,positive,approves,4.0,5.0
Airbnb,5.0,"San Francisco, CA",06-14-2020,y,neutral,,4.0,5.0
Airbnb,5.0,"San Francisco, CA",06-16-2020,y,neutral,no opinion,4.0,4.0
Airbnb,4.0,"San Francisco, CA",06-29-2020,y,positive,approves,4.0,4.0
Airbnb,4.0,"San Francisco, CA",06-25-2020,n,positive,approves,5.0,5.0
Airbnb,4.0,"San Francisco, CA",06-21-2020,y,neutral,,4.0,5.0
Airbnb,4.0,"San Francisco, CA",06-23-2020,y,negative,approves,4.0,4.0
Airbnb,5.0,"Portland, ME",06-05-2020,y,positive,approves,5.0,4.0
Airbnb,5.0,"San Francisco, CA",06-03-2020,y,,,5.0,4.0
Airbnb,4.0,"San Francisco, CA",06-11-2020,y,positive,,5.0,5.0
Airbnb,5.0,"San Francisco, CA",05-25-2020,y,neutral,approves,5.0,3.0
Airbnb,3.0,"San Francisco, CA",06-09-2020,,,,,
Airbnb,3.0,"Portland, OR",05-15-2020,n,neutral,,3.0,4.0
Airbnb,3.0,"San Francisco, CA",05-28-2020,y,neutral,approves,3.0,5.0
Airbnb,4.0,"San Francisco, CA",06-05-2020,y,positive,approves,4.0,4.0
Airbnb,5.0,"Portland, OR",05-20-2020,y,neutral,approves,5.0,4.0
Airbnb,5.0,"Portland, OR",05-13-2020,y,neutral,approves,3.0,4.0
Airbnb,5.0,"Portland, OR",05-19-2020,y,negative,approves,4.0,5.0
Airbnb,4.0,"San Francisco, CA",06-02-2020,y,neutral,approves,4.0,4.0
Airbnb,4.0,"San Francisco, CA",06-01-2020,y,negative,approves,2.0,5.0
Airbnb,2.0,"San Francisco, CA",05-28-2020,n,negative,,5.0,4.0
Airbnb,3.0,"San Francisco, CA",05-19-2020,n,negative,no opinion,2.0,2.0
Airbnb,5.0,"Seattle, WA",05-13-2020,y,neutral,,4.0,5.0
Airbnb,5.0,"San Francisco, CA",05-14-2020,y,neutral,,5.0,5.0
Airbnb,4.0,"Portland, OR",05-27-2020,y,positive,approves,5.0,4.0
Airbnb,3.0,"Bozeman, MT",05-28-2020,y,neutral,,3.0,3.0
Airbnb,4.0,"San Francisco, CA",05-27-2020,y,negative,approves,2.0,5.0
Airbnb,2.0,"San Francisco, CA",04-02-2020,n,negative,approves,2.0,3.0
Airbnb,5.0,"Seattle, WA",05-08-2020,,,,,
Airbnb,4.0,"Portland, OR",05-18-2020,,,,,
Airbnb,5.0,"Portland, OR",04-26-2020,y,negative,,4.0,5.0
Airbnb,4.0,"San Francisco, CA",05-12-2020,y,neutral,approves,3.0,4.0
Airbnb,5.0,"San Francisco, CA",04-04-2020,y,positive,approves,4.0,5.0
Airbnb,5.0,"San Francisco, CA",03-29-2020,y,negative,approves,5.0,4.0
Airbnb,5.0,"New York, NY",03-30-2020,y,positive,approves,4.0,4.0
Airbnb,5.0,"San Francisco, CA",03-18-2020,y,positive,approves,5.0,5.0
Airbnb,3.0,"San Francisco, CA",03-20-2020,y,negative,no opinion,5.0,3.0
Airbnb,3.0,"Portland, OR",02-15-2020,n,positive,approves,5.0,3.0
Airbnb,2.0,"San Francisco, CA",02-13-2020,,,,5.0,4.0
Airbnb,4.0,"New York, NY",02-19-2020,y,positive,approves,4.0,5.0
Airbnb,5.0,"San Francisco, CA",01-07-2020,,,,3.0,4.0
Airbnb,4.0,"San Francisco, CA",12-21-2019,y,positive,approves,4.0,5.0
Airbnb,3.0,"San Francisco, CA",10-23-2019,n,negative,no opinion,1.0,4.0
Airbnb,2.0,"Clearwater, FL",12-04-2019,n,negative,approves,1.0,2.0
Airbnb,4.0,"San Francisco, CA",12-04-2019,y,positive,no opinion,4.0,5.0
Airbnb,4.0,"San Francisco, CA",11-26-2019,y,positive,approves,4.0,4.0
Airbnb,4.0,"San Francisco, CA",11-16-2019,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",11-05-2019,y,positive,approves,4.0,5.0
Airbnb,3.0,"San Francisco, CA",11-12-2019,,,,,
Airbnb,4.0,"Portland, OR",11-15-2019,y,neutral,approves,5.0,3.0
Airbnb,5.0,"San Francisco, CA",10-28-2019,y,positive,approves,5.0,4.0
Airbnb,5.0,"San Francisco, CA",09-27-2019,y,positive,approves,5.0,5.0
Airbnb,2.0,"San Francisco, CA",08-13-2019,n,negative,approves,3.0,3.0
Airbnb,5.0,"San Francisco, CA",08-18-2019,y,positive,approves,5.0,5.0
Airbnb,5.0,"South San Francisco, CA",08-03-2019,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",03-13-2019,y,positive,approves,4.0,5.0
Airbnb,4.0,"San Francisco, CA",02-04-2019,y,positive,approves,3.0,5.0
Airbnb,2.0,"Miami, FL",07-30-2019,,,,1.0,2.0
Airbnb,4.0,"San Francisco, CA",06-11-2019,y,positive,approves,4.0,5.0
Airbnb,5.0,"San Francisco, CA",11-18-2018,y,positive,approves,5.0,5.0
Airbnb,5.0,"Portland, OR",04-12-2019,y,positive,approves,5.0,5.0
Airbnb,1.0,"San Francisco, CA",05-22-2019,n,negative,disapproves,4.0,3.0
Airbnb,2.0,"Portland, OR",02-23-2019,y,neutral,disapproves,3.0,2.0
Airbnb,5.0,"San Francisco, CA",02-26-2019,y,positive,approves,5.0,5.0
Airbnb,3.0,"Portland, OR",01-09-2019,,,,3.0,3.0
Airbnb,5.0,"Los Angeles, CA",11-20-2018,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",08-06-2018,y,positive,approves,5.0,5.0
Airbnb,5.0,"Portland, OR",10-05-2018,y,positive,approves,5.0,5.0
Airbnb,4.0,"San Francisco, CA",10-02-2018,n,neutral,approves,4.0,4.0
Airbnb,4.0,"San Francisco, CA",10-30-2018,y,positive,approves,5.0,3.0
Airbnb,4.0,"San Francisco, CA",10-28-2018,y,positive,no opinion,4.0,4.0
Airbnb,4.0,"San Francisco, CA",10-25-2018,y,positive,no opinion,3.0,4.0
Airbnb,2.0,"San Francisco, CA",09-03-2018,n,neutral,no opinion,4.0,3.0
Airbnb,2.0,"San Francisco, CA",09-27-2018,n,neutral,approves,2.0,4.0
Airbnb,5.0,"San Francisco, CA",08-18-2018,y,positive,approves,5.0,5.0
Airbnb,4.0,"San Francisco, CA",09-01-2018,y,neutral,approves,5.0,5.0
Airbnb,4.0,"San Francisco, CA",08-26-2018,y,,,3.0,5.0
Airbnb,1.0,"San Francisco, CA",08-28-2018,,,,,
Airbnb,3.0,"San Francisco, CA",07-05-2018,n,positive,no opinion,2.0,5.0
Airbnb,5.0,"San Francisco, CA",06-20-2018,y,positive,approves,4.0,4.0
Airbnb,2.0,"San Francisco, CA",07-12-2018,n,negative,disapproves,1.0,4.0
Airbnb,4.0,"San Francisco, CA",07-11-2018,y,positive,approves,4.0,3.0
Airbnb,1.0,"San Francisco, CA",07-10-2018,n,,,,
Airbnb,5.0,"New York, NY",06-15-2018,,,,,
Airbnb,5.0,"San Francisco, CA",05-07-2018,y,positive,approves,5.0,5.0
Airbnb,5.0,"New York, NY",06-07-2018,,,,,
Airbnb,5.0,"San Francisco, CA",05-23-2018,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",05-06-2018,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",05-09-2018,y,positive,approves,4.0,4.0
Airbnb,2.0,"San Francisco, CA",03-18-2018,n,neutral,disapproves,1.0,1.0
Airbnb,5.0,"San Francisco, CA",05-07-2018,y,positive,approves,4.0,5.0
Airbnb,2.0,"San Francisco, CA",03-11-2018,n,positive,no opinion,4.0,3.0
Airbnb,3.0,"San Francisco, CA",03-09-2018,y,positive,no opinion,5.0,5.0
Airbnb,5.0,"San Francisco, CA",04-12-2018,y,neutral,no opinion,5.0,5.0
Airbnb,5.0,"San Francisco, CA",03-20-2018,y,positive,approves,4.0,4.0
Airbnb,4.0,"San Francisco, CA",03-30-2018,y,positive,approves,5.0,5.0
Airbnb,3.0,"Portland, OR",03-12-2018,y,positive,disapproves,2.0,4.0
Airbnb,5.0,"San Francisco, CA",03-07-2018,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",02-26-2018,y,positive,approves,5.0,5.0
Airbnb,4.0,"San Francisco, CA",02-14-2018,n,neutral,no opinion,5.0,4.0
Airbnb,3.0,"Portland, OR",01-24-2018,y,neutral,no opinion,4.0,3.0
Airbnb,3.0,"San Francisco, CA",01-08-2018,n,negative,approves,5.0,3.0
Airbnb,3.0,"Portland, OR",01-16-2018,n,positive,no opinion,3.0,5.0
Airbnb,3.0,"San Francisco, CA",12-18-2017,y,neutral,approves,3.0,5.0
Airbnb,1.0,"San Francisco, CA",01-11-2018,n,negative,disapproves,1.0,3.0
Airbnb,5.0,"San Francisco, CA",12-06-2017,y,positive,approves,5.0,5.0
Airbnb,4.0,"Portland, OR",01-01-2018,y,positive,no opinion,3.0,3.0
Airbnb,3.0,"San Francisco, CA",11-11-2017,y,neutral,approves,4.0,5.0
Airbnb,5.0,"San Francisco, CA",11-27-2017,y,positive,no opinion,4.0,3.0
Airbnb,5.0,"Portland, OR",11-15-2017,,,,4.0,4.0
Airbnb,5.0,"San Francisco, CA",11-14-2017,y,positive,approves,5.0,4.0
Airbnb,5.0,"Portland, OR",11-14-2017,y,positive,approves,4.0,5.0
Airbnb,2.0,"San Francisco, CA",11-06-2017,n,neutral,no opinion,3.0,4.0
Airbnb,4.0,"San Francisco, CA",11-20-2017,y,positive,approves,4.0,5.0
Airbnb,1.0,"Not, MO",12-02-2017,n,negative,disapproves,1.0,1.0
Airbnb,5.0,"Portland, OR",10-16-2017,y,positive,approves,5.0,5.0
Airbnb,5.0,"Portland, OR",08-31-2017,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",09-13-2017,y,positive,approves,5.0,5.0
Airbnb,2.0,"San Francisco, CA",08-25-2017,n,negative,disapproves,2.0,4.0
Airbnb,3.0,"Portland, OR",09-09-2017,y,positive,,4.0,3.0
Airbnb,5.0,"San Francisco, CA",08-17-2017,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",06-11-2017,y,positive,approves,5.0,4.0
Airbnb,4.0,"San Francisco, CA",07-26-2017,y,positive,approves,3.0,4.0
Airbnb,4.0,"San Francisco, CA",06-14-2017,y,positive,no opinion,3.0,3.0
Airbnb,5.0,"San Francisco, CA",06-14-2017,y,positive,approves,3.0,5.0
Airbnb,5.0,"San Francisco, CA",06-14-2017,y,positive,approves,4.0,5.0
Airbnb,5.0,"San Francisco, CA",06-14-2017,y,positive,approves,5.0,5.0
Airbnb,2.0,"San Francisco, CA",05-11-2017,n,neutral,approves,4.0,3.0
Airbnb,3.0,"New York, NY",05-16-2017,n,positive,disapproves,3.0,2.0
Airbnb,3.0,"San Francisco, CA",04-27-2017,n,positive,approves,2.0,3.0
Airbnb,1.0,"San Francisco, CA",06-02-2017,n,negative,disapproves,2.0,1.0
Airbnb,1.0,"San Francisco, CA",06-22-2017,n,negative,disapproves,1.0,1.0
Airbnb,1.0,"San Francisco, CA",05-28-2017,n,negative,no opinion,3.0,3.0
Airbnb,4.0,"San Francisco, CA",05-16-2017,n,neutral,no opinion,3.0,4.0
Airbnb,4.0,"San Francisco, CA",04-26-2017,y,positive,no opinion,4.0,5.0
Airbnb,1.0,"San Francisco, CA",05-07-2017,n,neutral,approves,5.0,1.0
Airbnb,4.0,"San Francisco, CA",05-08-2017,y,neutral,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",04-18-2017,y,positive,approves,5.0,5.0
Airbnb,3.0,"San Francisco, CA",03-31-2017,n,positive,approves,4.0,4.0
Airbnb,5.0,"San Francisco, CA",03-31-2017,y,positive,approves,5.0,5.0
Airbnb,3.0,"San Francisco, CA",04-06-2017,y,positive,no opinion,1.0,3.0
Airbnb,5.0,"San Francisco, CA",03-16-2017,y,positive,approves,5.0,4.0
Airbnb,5.0,"San Francisco, CA",03-06-2017,y,positive,approves,4.0,4.0
Airbnb,3.0,"San Francisco, CA",11-03-2016,n,positive,disapproves,2.0,4.0
Airbnb,5.0,"San Francisco, CA",02-18-2017,y,positive,approves,3.0,4.0
Airbnb,3.0,"Portland, OR",03-06-2017,y,neutral,approves,3.0,4.0
Airbnb,5.0,"San Francisco, CA",02-21-2017,y,positive,approves,4.0,5.0
Airbnb,2.0,"Portland, OR",02-16-2017,n,positive,approves,1.0,5.0
Airbnb,3.0,"Portland, OR",01-10-2017,n,,,3.0,5.0
Airbnb,3.0,"San Francisco, CA",12-06-2016,n,neutral,no opinion,2.0,4.0
Airbnb,1.0,"San Francisco, CA",01-19-2017,n,neutral,approves,1.0,2.0
Airbnb,5.0,"San Francisco, CA",07-25-2016,y,positive,approves,5.0,4.0
Airbnb,3.0,"San Francisco, CA",12-07-2016,n,neutral,disapproves,1.0,4.0
Airbnb,3.0,"Portland, OR",11-27-2016,n,neutral,no opinion,1.0,3.0
Airbnb,5.0,"San Francisco, CA",12-09-2016,y,positive,approves,4.0,5.0
Airbnb,4.0,"Aurora, CO",12-24-2016,y,positive,approves,3.0,3.0
Airbnb,5.0,"San Francisco, CA",12-09-2016,y,positive,approves,5.0,5.0
Airbnb,1.0,"San Francisco, CA",12-24-2016,n,neutral,no opinion,1.0,3.0
Airbnb,1.0,"San Francisco, CA",12-11-2016,n,negative,disapproves,1.0,2.0
Airbnb,3.0,"San Francisco, CA",11-07-2016,n,positive,no opinion,3.0,5.0
Airbnb,5.0,"San Francisco, CA",11-12-2016,y,positive,approves,5.0,3.0
Airbnb,1.0,"San Francisco, CA",12-07-2016,,,,2.0,4.0
Airbnb,3.0,"Portland, OR",11-09-2016,n,neutral,approves,2.0,5.0
Airbnb,2.0,"Portland, OR",10-20-2016,n,neutral,approves,2.0,4.0
Airbnb,3.0,"Chicago, IL",10-17-2016,n,positive,no opinion,4.0,2.0
Airbnb,5.0,"San Francisco, CA",09-28-2016,y,positive,approves,5.0,5.0
Airbnb,3.0,"San Francisco, CA",09-16-2016,n,negative,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",08-18-2015,y,positive,approves,5.0,5.0
Airbnb,4.0,"New York, NY",09-17-2016,y,positive,approves,4.0,5.0
Airbnb,2.0,"Portland, OR",08-21-2016,n,neutral,no opinion,1.0,4.0
Airbnb,4.0,"San Francisco, CA",09-09-2016,y,neutral,no opinion,4.0,4.0
Airbnb,5.0,"San Francisco, CA",08-17-2016,y,positive,,4.0,5.0
Airbnb,2.0,"Portland, OR",08-10-2016,n,neutral,no opinion,2.0,5.0
Airbnb,2.0,"Portland, OR",08-10-2016,n,neutral,no opinion,1.0,3.0
Airbnb,5.0,"San Francisco, CA",08-08-2016,y,positive,,2.0,4.0
Airbnb,4.0,"San Francisco, CA",08-23-2016,y,positive,approves,1.0,4.0
Airbnb,5.0,"San Francisco, CA",08-02-2016,y,positive,approves,5.0,4.0
Airbnb,5.0,"San Francisco, CA",08-02-2016,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",07-29-2016,y,positive,approves,5.0,4.0
Airbnb,5.0,"San Francisco, CA",08-02-2016,y,positive,,5.0,5.0
Airbnb,5.0,"San Francisco, CA",08-02-2016,y,positive,approves,4.0,4.0
Airbnb,4.0,"Portland, OR",08-15-2016,y,positive,,4.0,5.0
Airbnb,5.0,"San Francisco, CA",08-02-2016,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",07-22-2016,y,positive,approves,5.0,4.0
Airbnb,5.0,"San Francisco, CA",06-30-2016,y,positive,,5.0,5.0
Airbnb,5.0,"San Francisco, CA",06-16-2016,y,positive,approves,2.0,3.0
Airbnb,4.0,"San Francisco, CA",06-28-2016,y,neutral,approves,4.0,
Airbnb,3.0,"Portland, OR",05-14-2016,y,positive,approves,3.0,5.0
Airbnb,5.0,"San Francisco, CA",05-17-2016,y,positive,approves,5.0,5.0
Airbnb,4.0,"San Francisco, CA",05-23-2016,y,positive,approves,5.0,4.0
Airbnb,4.0,"San Francisco, CA",05-04-2016,y,positive,,4.0,4.0
Airbnb,1.0,"San Francisco, CA",05-20-2016,n,positive,disapproves,1.0,1.0
Airbnb,5.0,"San Francisco, CA",04-03-2016,y,positive,,4.0,4.0
Airbnb,1.0,"New York, NY",05-19-2016,n,neutral,disapproves,1.0,1.0
Airbnb,3.0,"Portland, OR",03-16-2016,n,negative,no opinion,2.0,5.0
Airbnb,5.0,"Portland, OR",03-20-2016,y,positive,,5.0,5.0
Airbnb,3.0,"San Francisco, CA",03-16-2016,y,positive,approves,3.0,5.0
Airbnb,2.0,"San Francisco, CA",03-07-2016,n,,,2.0,3.0
Airbnb,1.0,"San Francisco, CA",04-25-2016,,,,3.0,5.0
Airbnb,3.0,"San Francisco, CA",03-18-2016,y,positive,,2.0,4.0
Airbnb,5.0,"Oakland, CA",03-13-2016,y,positive,approves,4.0,5.0
Airbnb,4.0,"San Francisco, CA",02-27-2016,y,positive,disapproves,3.0,5.0
Airbnb,4.0,"Portland, OR",03-13-2016,y,positive,approves,3.0,3.0
Airbnb,4.0,"San Francisco, CA",02-17-2016,y,positive,approves,4.0,5.0
Airbnb,4.0,"Los Angeles, CA",02-20-2016,y,positive,no opinion,4.0,4.0
Airbnb,5.0,"San Francisco, CA",01-29-2016,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",01-29-2016,y,positive,approves,5.0,4.0
Airbnb,4.0,"San Francisco, CA",01-26-2016,y,positive,approves,1.0,4.0
Airbnb,5.0,"San Francisco, CA",12-08-2015,y,positive,approves,5.0,5.0
Airbnb,2.0,"San Francisco, CA",12-22-2015,y,positive,no opinion,1.0,1.0
Airbnb,4.0,"San Francisco, CA",01-05-2016,y,positive,approves,4.0,4.0
Airbnb,5.0,"San Francisco, CA",12-09-2015,y,positive,,5.0,5.0
Airbnb,5.0,"San Francisco, CA",12-08-2015,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",12-10-2015,y,positive,approves,4.0,4.0
Airbnb,5.0,"San Francisco, CA",11-20-2015,y,positive,,3.0,5.0
Airbnb,5.0,"San Francisco, CA",11-10-2015,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",11-11-2015,y,positive,approves,4.0,4.0
Airbnb,4.0,"San Francisco, CA",11-01-2015,y,positive,approves,2.0,2.0
Airbnb,5.0,"San Francisco, CA",10-29-2015,y,positive,approves,3.0,4.0
Airbnb,5.0,"Portland, OR",10-16-2015,y,positive,approves,4.0,4.0
Airbnb,5.0,"San Francisco, CA",10-14-2015,y,positive,approves,4.0,5.0
Airbnb,5.0,"San Francisco, CA",10-09-2015,y,positive,,4.0,3.0
Airbnb,3.0,"Portland, OR",08-16-2015,y,neutral,approves,3.0,5.0
Airbnb,3.0,"Portland, OR",07-08-2015,y,negative,approves,2.0,5.0
Airbnb,4.0,"San Francisco, CA",09-02-2015,y,positive,approves,4.0,3.0
Airbnb,5.0,"San Francisco, CA",08-18-2015,y,positive,approves,4.0,4.0
Airbnb,5.0,"San Francisco, CA",08-17-2015,y,positive,,5.0,5.0
Airbnb,5.0,"San Francisco, CA",07-13-2015,y,positive,approves,4.0,5.0
Airbnb,5.0,"San Francisco, CA",07-13-2015,y,positive,,5.0,5.0
Airbnb,5.0,"San Francisco, CA",07-15-2015,y,positive,,5.0,5.0
Airbnb,5.0,"San Francisco, CA",07-13-2015,y,positive,approves,4.0,5.0
Airbnb,5.0,"San Francisco, CA",07-13-2015,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",07-08-2015,y,positive,approves,4.0,5.0
Airbnb,5.0,"San Francisco, CA",07-03-2015,y,positive,,3.0,5.0
Airbnb,5.0,"San Francisco, CA",06-19-2015,y,positive,approves,5.0,4.0
Airbnb,5.0,"Portland, OR",06-07-2015,y,positive,approves,4.0,5.0
Airbnb,4.0,"San Francisco, CA",07-02-2015,y,positive,,4.0,4.0
Airbnb,5.0,"Portland, OR",06-11-2015,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",06-10-2015,y,positive,,5.0,5.0
Airbnb,5.0,"San Francisco, CA",06-09-2015,y,positive,approves,5.0,4.0
Airbnb,5.0,"San Francisco, CA",06-10-2015,y,positive,,4.0,5.0
Airbnb,5.0,"Miami, FL",06-08-2015,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",06-03-2015,y,positive,approves,3.0,5.0
Airbnb,5.0,"Portland, OR",06-04-2015,y,positive,approves,4.0,4.0
Airbnb,5.0,"Portland, OR",06-02-2015,y,positive,approves,3.0,5.0
Airbnb,5.0,"Portland, OR",06-03-2015,y,positive,approves,4.0,4.0
Airbnb,4.0,"San Francisco, CA",06-03-2015,y,positive,approves,4.0,4.0
Airbnb,5.0,"Portland, OR",04-13-2015,y,positive,approves,4.0,5.0
Airbnb,5.0,"San Francisco, CA",02-11-2015,y,positive,approves,4.0,5.0
Airbnb,2.0,"San Francisco, CA",02-23-2015,n,positive,disapproves,1.0,3.0
Airbnb,5.0,"San Francisco, CA",02-13-2015,y,positive,approves,5.0,5.0
Airbnb,5.0,"Portland, OR",03-05-2015,y,positive,approves,2.0,5.0
Airbnb,3.0,"San Francisco, CA",02-12-2015,n,positive,no opinion,1.0,1.0
Airbnb,5.0,"Portland, OR",02-22-2015,y,positive,approves,5.0,5.0
Airbnb,5.0,"Portland, OR",02-12-2015,y,positive,approves,3.0,5.0
Airbnb,5.0,"Los Angeles, CA",02-12-2015,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",02-12-2015,y,positive,approves,4.0,4.0
Airbnb,5.0,"Portland, OR",02-22-2015,y,positive,approves,5.0,5.0
Airbnb,4.0,"Portland, OR",02-26-2015,y,positive,approves,4.0,4.0
Airbnb,5.0,"Portland, OR",02-20-2015,y,positive,approves,2.0,5.0
Airbnb,5.0,"San Francisco, CA",02-18-2015,y,positive,approves,5.0,5.0
Airbnb,5.0,"Portland, OR",02-12-2015,y,positive,,4.0,4.0
Airbnb,5.0,"Portland, OR",02-14-2015,y,positive,approves,4.0,5.0
Airbnb,5.0,"Portland, OR",02-12-2015,y,positive,approves,4.0,4.0
Airbnb,5.0,"Portland, OR",02-13-2015,y,positive,approves,4.0,5.0
Airbnb,5.0,"San Francisco, CA",02-12-2015,y,positive,approves,3.0,5.0
Airbnb,5.0,"San Francisco, CA",02-12-2015,y,positive,approves,4.0,5.0
Airbnb,5.0,"San Francisco, CA",02-12-2015,y,positive,approves,3.0,4.0
Airbnb,5.0,"San Francisco, CA",02-12-2015,y,positive,approves,4.0,4.0
Airbnb,5.0,"Portland, OR",02-12-2015,y,positive,approves,4.0,5.0
Airbnb,5.0,"Portland, OR",02-12-2015,y,positive,approves,3.0,4.0
Airbnb,5.0,"San Francisco, CA",02-12-2015,y,positive,approves,4.0,4.0
Airbnb,5.0,"San Francisco, CA",02-02-2015,y,positive,approves,4.0,4.0
Airbnb,5.0,"San Francisco, CA",01-09-2015,y,positive,approves,3.0,4.0
Airbnb,5.0,"San Francisco, CA",01-19-2015,y,positive,,5.0,4.0
Airbnb,4.0,"San Francisco, CA",01-28-2015,y,positive,approves,3.0,3.0
Airbnb,5.0,"San Francisco, CA",01-19-2015,y,positive,no opinion,3.0,3.0
Airbnb,5.0,"San Francisco, CA",01-04-2015,y,positive,approves,4.0,4.0
Airbnb,5.0,"San Francisco, CA",01-10-2015,y,positive,approves,,
Airbnb,5.0,"San Francisco, CA",12-29-2014,y,positive,,5.0,4.0
Airbnb,5.0,"San Francisco, CA",01-09-2015,y,positive,approves,4.0,5.0
Airbnb,5.0,"San Francisco, CA",01-09-2015,y,positive,approves,,
Airbnb,5.0,"San Francisco, CA",01-09-2015,y,positive,approves,5.0,5.0
Airbnb,2.0,"San Francisco, CA",01-02-2015,n,neutral,disapproves,2.0,3.0
Airbnb,5.0,"San Francisco, CA",01-08-2015,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",01-08-2015,y,positive,approves,4.0,4.0
Airbnb,5.0,"San Francisco, CA",01-08-2015,y,positive,approves,4.0,5.0
Airbnb,5.0,"San Francisco, CA",12-10-2014,y,positive,approves,4.0,5.0
Airbnb,5.0,"San Francisco, CA",12-11-2014,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",12-16-2014,y,positive,approves,4.0,4.0
Airbnb,5.0,"San Francisco, CA",12-11-2014,y,positive,approves,4.0,5.0
Airbnb,5.0,"San Francisco, CA",12-11-2014,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",12-11-2014,y,positive,,3.0,4.0
Airbnb,5.0,"San Francisco, CA",12-11-2014,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",12-12-2014,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",12-10-2014,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",12-10-2014,y,positive,approves,4.0,4.0
Airbnb,5.0,"San Francisco, CA",12-10-2014,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",12-11-2014,y,positive,approves,4.0,4.0
Airbnb,5.0,"San Francisco, CA",12-11-2014,y,positive,approves,4.0,4.0
